అంకిత	ankita
చెట్టు	chettu
చెట్టుకి	chettuki
చెట్టుకు	chettuku
చెట్టును	chettunu
చెట్లకు	chetlaku
చెట్లను	chetlanu
చెట్లు	chetlu
చెడకుండా	chedakundaa
చెడు	chedu
చెడుగా	chedugaa
చెడ్డ	chedda
చెత్త	cheththa
చెన్నపట్నం	chennapatnam
చెన్నారెడ్డి	chennaareddi
చెన్నై	chennai
చెన్నైలో	chennailoo
చెన్నైలోని	chennailooni
చెపుతాడు	cheputaadu
చెపుతాయి	cheputaayi
చెపుతారు	cheputhaaru
చెపుతుంటే	cheputhunte
చెపుతుంది	chebuthundi
చెపుతున్నారు	chepputhunnaaru
చెపుతూ	chebuthu
చెప్తాడు	cheptaadu
చెప్తాను	cheptaanu
చెప్తారు	chepthaaru
చెప్తుంది	chepthundhi
చెప్తున్నాను	chepthunnaanu
చెప్తున్నాయి	chepthunnaayi
చెప్తున్నారు	chepthunnaaru
చెప్పచ్చు	cheppacchu
చెప్పటంతో	cheppatamtho
చెప్పడంతో	cheppadamtho
చెప్పడమే	cheppadame
చెప్పడానికే	cheppadaanike
చెప్పబడింది	cheppabadindi
చెప్పబడినవి	cheppabadinavi
చెప్పబడుతుంది	cheppabadutundi
చెప్పబడుతూ	cheppabaduthoo
చెప్పబడుతోంది	cheppabaduthondi
చెప్పబడే	cheppabade
చెప్పబడ్డాయి	cheppabaddaai
చెప్పలేక	cheppalayka
చెప్పలేదు	cheppalaydhu
చెప్పలేము	cheppalemu
చెప్పవలెను	cheppavalenu
చెప్పసాగాడు	cheppasaagaadu
చెప్పానని	cheppaanani
చెప్పాను	cheppaanu
చెప్పారని	cheppaarani
చెప్పాలంటే	cheppalante
చెప్పాల్సిన	cheppalsina
చెప్పావు	cheppavu
చెప్పి	cheppi
చెప్పింది	cheppindi
చెప్పిన	cheppina
చెప్పినట్లు	cheppinatlu
చెప్పినది	cheppinadi
చెప్పినప్పటికీ	cheppinappatiki
చెప్పినవాడు	cheppinavaadu
చెప్పినా	cheppinaa
చెప్పు	cheppu
చెప్పుకుంటారు	cheppukuntaaru
చెప్పుకుని	cheppukuni
చెప్పుకునే	cheppukune
చెప్పుకున్న	cheppukunna
చెప్పుకున్నాడు	cheppukunnaadu
చెప్పుకున్నారు	cheppukunnaaru
చెప్పుకొనేవారు	cheppukonayvaaru
చెప్పుకోతగ్గ	cheppukootagga
చెప్పుకోదగిన	cheppukoodagina
చెప్పుకోదగినవి	cheppukodaginavi
చెప్పుకోదగ్గ	cheppukodagga
చెప్పుకోదగ్గవి	cheppkodaggavi
చెప్పుకోవచ్చు	cheppukoovacchu
చెప్పుకోవచ్చును	cheppukoovacchunu
చెప్పుకోవడం	cheppukoovadam
చెప్పుకోవాలంటే	cheppukoovaalantee
చెప్పులు	cheppulu
చెప్పెను	cheppenu
చెప్పేటప్పుడు	cheppetappudu
చెప్పేవాడు	cheppaevaadu
చెప్పేసరికి	cheppaesariki
చెప్పొచ్చు	cheppocchu
చెబితే	chebitae
చెబుతాడు	chebuthaadu
చెబుతాను	chebuhaanu
చెబుతారు	chebuthaaru
చెబుతుంటాయి	chebuthuntaayi
చెబుతుంటారు	chebuthuntaaru
చెబుతుంది	chebuthundhi
చెబుతున్నాను	chebuthunnaanu
చెబుతున్నాయి	chebutunnaayi
చెబుతున్నారు	chebuthunnaaru
చెబుతూ	chebuthoo
చెబుతూనే	chebuthoone
చెబుతోంది	chebuthondi
చెమట	chemata
చెయడానికి	cheyadaaniki
చెయ్య	cheyya
చెయ్యండి	cheyyandi
చెయ్యకపోయినా	cheyyakapooyinaa
చెయ్యగా	cheyyagaa
చెయ్యగానే	cheyyagaanae
చెయ్యటం	cheyyatam
చెయ్యటానికి	cheyyataaniki
చెయ్యడం	cheyyadam
చెయ్యడమే	cheyyadamae
చెయ్యడానికి	cheyyadaaniki
చెయ్యబడి	cheyyabadi
చెయ్యబడింది	cheyyabadimdi
చెయ్యబడిన	cheyyabadina
చెయ్యబడ్డ	cheyyabadda
చెయ్యమని	cheyyamani
చెయ్యరు	cheyyaru
చెయ్యవచ్చు	cheyyavacchu
చెయ్యవచ్చును	cheyyavacchunu
చెయ్యాలని	cheyyaalani
చెయ్యాలి	cheyyaali
చెయ్యాలో	cheyyaaloo
చెయ్యి	cheyyi
చెరబండరాజు	cherabandaraaju
చెరుకు	cheruku
చెరుకుపల్లి	cherukupalli
చెరుకూరి	cherukoori
చెరువు	cheruvu
చెరువుకు	cheruvuku
చెరువుల	cheruvula
చెరువులలో	cheruvulalo
చెరువులు	cheruvulu
చెరువులో	cheruvulo
చెర్రీ	cherry
చెలరేగిన	chelaregina
చెలరేగే	chelarege
చెలామణి	chelaamani
చెలి	cheli
చెలీ	chelii
చెల్లాచెదురుగా	chellaachedurugaa
చెల్లాచెదురై	chellaachedurai
చెల్లించడానికి	chellinchadaaniki
చెల్లించవచ్చు	chellinchavacchu
చెల్లించారు	chellinchaaru
చెల్లించాలని	chellinchaalani
చెల్లించాలి	chellinchaali
చెల్లించాల్సి	chellinchaalsi
చెల్లించాల్సిన	chellinchaalsina
చెల్లించి	chellinchi
చెల్లించిన	chellinchina
చెల్లించే	chellinchae
చెల్లించేందుకు	chellinchaendhuku
చెల్లింపు	chellimpu
చెల్లింపుల	chellimpula
చెల్లింపులు	chellimpulu
చెల్లిస్తారు	chellistaru
చెల్లుతుంది	chelluthundi
చెల్లెలు	chellelu
చెల్లెల్ని	chellelni
చెల్లెళ్ళు	chellellu
చెళ్లపిళ్ల	chellapilla
చెవి	chevi
చెవిలో	chevilo
చెవుడు	chevudu
చెవుల	chevula
చెవులు	chevulu
చెసి	chesi
చెసుకొని	chesukoni
చెస్	chess
చెస్ట్	chest
చెస్తే	cheste
చేంజ్	change
చేకూరి	chekoori
చేకూరుస్తాయి	chaekuurustaayi
చేకూర్చాయి	chaekuurchaayi
చేకూర్చింది	chaekuurchumdi
చేజిక్కించుకున్నాడు	chaejikkimchukunnaadu
చేజిక్కించుకోవడానికి	chaejikkimchukoovadaaniki
చేజెర్ల	chaejerla
చేజ్	chaez
చేత	chaeta
చేతకానివాడు	chaetakaanivaadu
చేతగాని	chaetagaani
చేతను	chaetanu
చేతనే	chaetanae
చేతపట్టుకుని	chaetapattukuni
చేతి	chethi
చేతికందుతుంది	chethikanduthundi
చేతికి	chethiki
చేతితో	chethitho
చేతిని	chethini
చేతిపని	chethipani
చేతిలో	chethilo
చేతిలోంచి	chethilonchi
చేతిలోని	chethiloni
చేతుల	chethula
చేతులకు	chethulaku
చేతులతో	chethulatho
చేతులని	chethulani
చేతులను	chethulanu
చేతులమీదుగా	chethulameedhugaa
చేతులలో	chethulalo
చేతులారా	chethulaaraa
చేతులు	chethulu
చేతులెత్తి	cheethuletthi
చేతుల్నీ	cheethulnii
చేతుల్లో	chethullo
చేతుల్లోకి	chethulloki
చేత్తో	chettho
చేదు	chedu
చేదుగా	cheduga
చేదోడుగా	chedoduga
చేద్దామన్న	cheddamanna
చేనేత	cheeneeta
చేప	chepa
చేపట్టడం	chaepattadam
చేపట్టడానికి	chaepattadaaniki
చేపట్టాడు	chaepattadu
చేపట్టాయి	chaepattaayi
చేపట్టారు	chaepattaaru
చేపట్టి	chepatti
చేపట్టింది	chepattindi
చేపట్టిన	chepattina
చేపట్టినా	chaepattinaa
చేపట్టే	chaepattae
చేపడతారు	chepadataaru
చేపడుతున్నారు	chepaduthunnaru
చేపల	chepala
చేపలతో	chepalatho
చేపలను	chepalanu
చేపలు	chepalu
చేపల్ని	chepalni
చేబ్రోలు	chaebroolu
చేయండి	chaeyamdi
చేయకపోవడం	chaeyakapoovadam
చేయకుండా	chaeyakumdaa
చేయకూడదని	chaeyakuudadani
చేయకూడదు	chaeyakuudadu
చేయగల	cheyagala
చేయగలరని	cheyagalarani
చేయగలరు	cheyagalaru
చేయగలవు	cheyagalavu
చేయగలిగింది	cheeyagaligindi
చేయగలిగిన	cheyagaligina
చేయగా	cheyagaa
చేయటం	cheyatam
చేయటంతో	cheyatamtho
చేయటంలో	cheyatamlo
చేయటానికి	cheyataaniki
చేయట్లేదని	cheetleedani
చేయడము	cheyadamu
చేయడమే	cheyadame
చేయడానికి	cheeyadaaniki
చేయడాన్ని	cheyadaanni
చేయదు	cheyadu
చేయనని	cheyanani
చేయని	cheyani
చేయబడతాయి	cheyabadataayi
చేయబడవచ్చు	cheyabadavacchu
చేయబడి	cheyabadi
చేయబడింది	cheyabadindi
చేయబడిన	cheyabadina
చేయబడినది	cheyabadinadi
చేయబడినవి	cheyabadinavi
చేయబడినాయి	cheyabadinaai
చేయబడుతుంది	chaeyabadutumdi
చేయబడుతున్నాయి	chaeyabadutunnaayi
చేయబడుతోంది	chaeyabadutoomdi
చేయబడే	cheyabade
చేయబడ్డ	cheyabadda
చేయబడ్డాడు	chaeyabaddaadu
చేయబడ్డాయి	chaeyabaddaayi
చేయబడ్డారు	chaeyabaddaaru
చేయబోయే	chaeyabooyae
చేయమంటే	chaeyamamtae
చేయమని	chaeyamani
చేయరాదు	cheeyaraadu
చేయరు	cheyaru
చేయలేక	cheyaleka
చేయలేకపోయాడు	cheyalekapoyaadu
చేయలేకపోయింది	cheeyaleekapooyindi
చేయలేడు	cheyaledu
చేయలేదని	cheeyaleedani
చేయలేదు	cheeyaleedu
చేయలేని	cheyaleni
చేయలేమని	chaeyalaemani
చేయవచ్చని	chaeyavacchani
చేయవచ్చనే	chaeyavacchanae
చేయవచ్చా	chaeyavacchaa
చేయవచ్చు	chaeyavacchu
చేయవచ్చును	chaeyavacchunu
చేయవచ్చో	chaeyavacchoo
చేయవద్దని	chaeyavaddani
చేయవని	chaeyavani
చేయవలసి	chaeyavalisi
చేయవలసిన	chaeyavalasina
చేయవలెను	chaeyavalenu
చేయవు	chaeyavu
చేయసాగాడు	chaeyasaagaadu
చేయాలంటే	cheeyaalantee
చేయాలని	cheeyaalani
చేయాలనుకుంటే	cheyalanukunte
చేయాలనే	cheyalane
చేయాలన్న	cheyalanna
చేయాలి	cheyaali
చేయాలో	cheyaalo
చేయాల్సి	cheyaalsi
చేయాల్సిన	cheyaalsina
చేయి	cheyi
చేయించాలి	chaeyimchaali
చేయించుకొని	chaeyimchukoni
చేయించేవారు	cheeyincheevaaru
చేయిస్తారు	cheeyistaaru
చేయిస్తుంది	chaeyistumdi
చేయిస్తూ	chaeyistuu
చేయుచూ	chaeyuchuu
చేయుట	cheyuta
చేయుటకు	cheyutaku
చేయుటలో	cheyutalo
చేయువాడు	cheyuvadu
చేయొద్దని	cheyoddani
చేరతాడు	cherathaadu
చేరవేసే	chaeravaesae
చేరాయి	chaeraayi
చేరాలి	chaeraali
చేరిక	chaerika
చేరిన	chaerina
చేరినది	chaerinadi
చేరు	cheru
చేరుకుంటాడు	chaerukumtaadu
చేరుకుంటాను	chaerukumtaanu
చేరుకుంటారు	chaerukumtaaru
చేరుకుంటుంది	chaerukumtumdi
చేరుకుంది	chaerukumdi
చేరుకుని	cherukuni
చేరుకునే	cherukune
చేరుకున్నాయి	chaerukunnaayi
చేరుకొని	cherukoni
చేరుకొన్న	cherukonna
చేరుకోవచ్చు	cherukovachu
చేరుకోవడానికి	chaerukoovadaaniki
చేరుతాడు	chaerutaadu
చేరుతారు	chaerutaaru
చేరుతుంది	cheruthundi
చేరును	cherunu
చేరువ	cheruva
చేరువగా	cheruvagaa
చేరేది	chaeraedi
చేర్చ	chercha
చేర్చటం	cherchatam
చేర్చడం	cherchadam
చేర్చడానికి	cherchadaniki
చేర్చబడింది	cherchabadindi
చేర్చబడ్డాయి	chaerchabaddaayi
చేర్చమని	cherchamani
చేర్చలేదు	cherchaledu
చేర్చారు	chercharu
చేర్చాలని	cherchalani
చేర్చి	cherchi
చేర్చింది	cherchindi
చేర్చిన	chaerchina
చేర్చుకొని	cherchukoni
చేర్చుకోవడానికి	chaerchukoovadaaniki
చేర్చే	cherche
చేవ	cheva
చేశాం	chesaam
చేశాక	chesaaka
చేశాడని	chaesaadani
చేశాడు	chaesaadu
చేశాడో	chaesaadoo
చేశామని	chaesaamani
చేశాయి	chaesaayi
చేశారట	chaesaarata
చేశారని	chaesaarani
చేశారు	chaesaaru
చేష్టలుడిగి	chaeshtaludigi
చేసాక	chesaaka
చేసాడు	chesaadu
చేసాను	chesaanu
చేసాయి	chesaayi
చేసారని	chesaarani
చేసారా	chesaaraa
చేసారో	chaesaaroo
చేసి	chesi
చేసిందని	chesindani
చేసికొని	chesikoni
చేసిన	chesina
చేసినందుకు	chesinanduku
చేసినచో	chesinacho
చేసినట్టు	chesinattu
చేసినట్లయితే	chesinatlayite
చేసినట్లు	chesinatlu
చేసినట్లైతే	cheesinatlaitee
చేసినది	chesinadi
చేసినపుడు	chesinapudu
చేసినప్పటికీ	chesinappatiki
చేసినప్పుడు	chesinappudu
చేసినవారు	cheesinavaaru
చేసినవి	chesinavi
చేసినా	cheesinaa
చేసుకుంటాడు	cheesukuntaadu
చేసుకుంటానని	chesukuntanani
చేసుకుంటాయి	chesukuntayi
చేసుకుంటారు	chesukuntaru
చేసుకుంటుంది	chesukuntundi
చేసుకుంటూ	chesukuntu
చేసుకుంటే	chesukunte
చేసుకుంది	chesukundi
చేసుకుని	chesukuni
చేసుకునే	cheesukunee
చేసుకునేది	chesukunedi
చేసుకునేలా	cheesukuneelaa
చేసుకునేవారు	chesukunevaru
చేసుకున్న	chesukunna
చేసుకున్నట్టుగా	cheesukunnattugaa
చేసుకున్నట్లు	chesukunnatlu
చేసుకున్నది	chesukunnadi
చేసుకున్నప్పటికీ	cheesukunnappatiki
చేసుకున్నాం	cheesukunnaam
చేసుకున్నాడని	cheesukunnaadani
చేసుకున్నాడు	cheesukunnaadu
చేసుకున్నాయి	cheesukunnayi
చేసుకున్నారని	cheesukunarani
చేసుకున్నారు	cheesukunnaru
చేసుకొంటాడు	cheesukontaadu
చేసుకొన	chesukona
చేసుకొని	chesukoni
చేసుకొనుట	chesukonuta
చేసుకొనే	chesukone
చేసుకొనేవారు	chesukonevaaru
చేసుకొన్న	chesukonna
చేసుకొన్నది	cheesukoonnadi
చేసుకొన్నాడు	cheesukonnaadu
చేసుకొన్నారు	cheesukonnaaru
చేసుకో	chesuko
చేసుకోక	chesukoka
చేసుకోకుండా	cheesukookundaa
చేసుకోకూడదు	cheesukookuudadu
చేసుకోని	chesukoni
చేసుకోమని	chesukomani
చేసుకోలేదు	cheesukooleedu
చేసుకోవ	chesukova
చేసుకోవచ్చు	chesukoovachhu
చేసుకోవచ్చును	chesukoovachhunu
చేసుకోవటం	chesukovatam
చేసుకోవటానికి	chesukoovataaniki
చేసుకోవడం	chesukovadam
చేసుకోవడంతో	chesukovadamtho
చేసుకోవడానికి	chesukovadaniki
చేసుకోవడానికీ	chesukoovadaaniki
చేసుకోవద్దని	chesukovaddhani
చేసుకోవాలని	chesukoovaalani
చేసుకోవాలనే	chesukoovaalane
చేసుకోవాలి	chesukovali
చేసెను	chesenu
చేసే	chese
చేసేంత	chesenta
చేసేందుకు	chesenduku
చేసేటప్పుడు	chesetappudu
చేసేది	chesedi
చేసేదేముంది	chesedemundi
చేసేలా	cheselaa
చేసేవాడు	cheeseevaadu
చేసేవారి	cheeseevaari
చేసేవారికి	cheeseevaariki
చేసేవారు	cheeseevaaru
చేస్తాడని	cheestaadani
చేస్తాడు	cheestaadu
చేస్తానని	cheestaanani
చేస్తానన్న	chestananna
చేస్తాను	cheesthaanu
చేస్తామని	cheesthaamani
చేస్తాము	cheesthaamu
చేస్తాయి	chestayi
చేస్తాయో	cheesthaaye
చేస్తారంటే	cheesthaarantee
చేస్తారా	cheesthaaraa
చేస్తారు	cheesthaaru
చేస్తారో	cheesthaaroo
చేస్తుంటాడు	cheestuntaadu
చేస్తుంటారు	cheestuntaaru
చేస్తుంటుంది	chestuntundi
చేస్తుంటే	chesthunte
చేస్తుండగా	cheestundagaa
చేస్తుండేవారు	cheestundeevaaru
చేస్తుందని	cheestundani
చేస్తుందనే	cheestundanee
చేస్తుంది	cheestundi
చేస్తున్నట్లు	cheestuunnatlu
చేస్తున్నప్పుడే	cheestunnappudee
చేస్తున్నాను	chestunnanu
చేస్తున్నాయి	cheestunnaayi
చేస్తున్నారని	cheestunnaarani
చేస్తూ	cheestuu
చేస్తూనే	cheestuunee
చేస్తే	cheestee
చేస్తోంది	cheesthoondi
చేస్తోన్న	cheesthoonna
చైతన్య	chaithanya
చైతన్యం	chaithanyam
చైతన్యము	chaithanyamu
చైతన్యాన్ని	chaitanyanni
చైత్ర	chaitra
చైనా	chaina
చైనాకు	chainaku
చైనాతో	chainaathoo
చైనాల	chainala
చైనాలు	chainalu
చైనాలో	chainalo
చైనాలోని	chainaloni
చైనాలోనే	chainalone
చైనీస్	chainees
చైర్మన్	chairman
చొక్కా	chokka
చొచ్చుకొని	chocchukoni
చొప్పించాడు	choppinchaadu
చొప్పున	choppuna
చొరబడి	chorabadi
చొరబాటు	chorabaatu
చొరబాట్లు	chorabaatlu
చొరవ	chorava
చోట	chota
చోటా	chootaa
చోటి	choti
చోటుచేసుకుంది	chootucheesukundi
చోటుచేసుకునే	chootucheesukunee
చోటుచేసుకున్న	chootucheesukunna
చోటుచేసుకున్నాయి	chootucheesukunnaayi
చోటే	chote
చోడవరం	chodavaram
చోప్రా	chopra
చోళుల	cholula
చోళులు	cholulu
చౌక	chouka
చౌకగా	chookagaa
చౌకైన	choukaina
చౌక్	choke
చౌటుప్పల్	choutuppal
చౌడప్ప	choudappa
చౌదరి	choudari
చౌహాన్	chouhan
చ్యవన	chyavana
చ్యవనుడు	chyavanudu
ఛందస్సు	chandassu
ఛటర్జీ	chatterjee
ఛత్రపతి	chatrapati
ఛాంబర్	chaamber
ఛాతి	chaathi
ఛాతిలో	chaathilo
ఛాతీ	chaathee
ఛానళ్ళ	chaanalla
ఛానెల్	chaanel
ఛానెళ్లు	chaanellu
ఛాన్సలర్	chancellor
ఛాయ	chaaya
ఛాయాగ్రహణం	chaayaagrahanam
ఛాయాచిత్రాల	chaayaachithraala
ఛాయాచిత్రాలను	chaayaachithraalanu
ఛాయాచిత్రాలు	chaayaachithraalu
ఛాయాదేవి	chayadevi
ఛారిటీ	charity
ఛార్జీలు	chaarjeelu
ఛార్జ్	charge
ఛార్లెస్	charles
ఛాలెంజ్	challenge
ఛీ	chhee
ఛేదించి	chhedinchi
ఛైర్మన్	chairman
జంగం	jangam
జంగమ	jangama
జంగారెడ్డిగూడెం	jangaareddigoodem
జంగాలు	jangaala
జంగిల్	jungle
జంటనగరాల	jantanagaraala
జంతర్	janthar
జంతు	janthu
జంతుబలి	janthubali
జంతువు	janthuvu
జంతువుల	janthuvula
జంతువులకు	janthuvulaku
జంతువులను	janthuvulanu
జంతువులపై	janthuvulapai
జంతువులలో	janthuvulalo
జంతువులు	janthuvulu
జంధ్యాల	jandhyaala
జంపన	jamapana
జకార్తా	jaakaarta
జగత్	jagat
జగత్తు	jagagattu
జగత్తుకు	jagagattuku
జగత్తునకు	jagattunaku
జగత్తును	jagattunu
జగత్తులో	jagathulo
జగదీష్	jagadeesh
జగద్గురు	jagadguru
జగద్గురువు	jagadguruvu
జగన్నాథ	jaganaadha
జగన్నాథం	jagannaadham
జగన్నాథుని	jagannaadhuni
జగన్నాథ్	jagannaadh
జగన్నాధ	jagannadha
జగన్మోహినీ	jaganmohinee
జగపతి	jagapati
జగపతిబాబు	jagapatibabu
జగ్గంపేట	jaggampeta
జగ్గయ్య	jaggayya
జగ్గయ్యపేట	jaggayyapaeta
జటాయువు	jagaayuvu
జట్టు	jattu
జట్టుకు	jattuku
జట్టుగా	jattugaa
జట్టుతో	jattuthoo
జట్టును	jattunu
జట్టులో	jattulo
జట్టులోని	jattuloni
జట్లు	jatlu
జడ	jada
జడల	jadala
జడ్జి	judge
జడ్జ్	judge
జత	jata
జతల	jatala
జతలు	jatalu
జనం	janam
జనక	janaka
జనకుడు	janakudu
జనగామ	janagaama
జనచైతన్య	jagachaitanya
జనజీవన	jagajeevana
జనతా	janata
జనతాదళ్	jagataadalh
జనన	janana
జననం	jananam
జననీ	jananee
జనమేజయుడు	janamejayudu
జనరంజక	janaranjaka
జనరల్	genaral
జనరల్స్	genarals
జనవరి	janavari
జనవరిలో	janavarilo
జనసంఖ్య	janasankhya
జనసంఘ్	janasangh
జనసాంద్రత	janasaamdrata
జనాదరణ	janaadarana
జనాభా	janaabhaa
జనాభాకు	janaabhaaku
జనాభాను	janaabhaanu
జనాభాలో	janaabhaaloo
జనార్దన్	janaardhan
జనార్ధన	janaardhana
జనార్ధన్	janaardhan
జనాలకు	janaalaku
జనాలు	janaalu
జనాల్లో	janaallo
జనావాసాలు	janaavaasaalu
జనించింది	janinchindi
జనిత	janita
జనిస్తుంది	janistundi
జనుల	janula
జనులను	janulanu
జనులు	janulu
జన్	jan
జన్మ	janma
జన్మనిచ్చిన	janmanicchina
జన్మనిస్తుంది	janmanistundi
జన్మభూమి	janmabhumi
జన్మము	janmamu
జన్మరాశి	janmaraashi
జన్మల	janmala
జన్మలో	janmaloo
జన్మస్థలం	janmasthalam
జన్మహక్కు	janmahakku
జన్మించాడు	janminchaadu
జన్మించారు	janminchaaru
జన్మించి	janminchi
జన్మించింది	janminchindi
జన్మించిన	janminchina
జన్మించినా	janmimchinaa
జన్మించిరి	janminchiri
జన్మించే	janmimchae
జన్మిస్తాడు	janmistaadu
జన్మిస్తుంది	janmistundi
జన్యు	janyu
జన్యుపరంగా	jannuparamgaa
జన్యుపరమైన	janyuparamaina
జన్యువు	janyuvu
జన్యువుల	janyuvula
జన్యువులను	janyuvulanu
జన్యువులు	janyuvulu
జప	japa
జపనీయులు	japaniiyulu
జపనీస్	japanees
జపాన్	japan
జపాన్లో	japanlo
జపాలు	japaalu
జప్తు	japtu
జబ్బు	jabbu
జబ్బుల	jabbula
జబ్బులు	jabbulu
జమ	jama
జమీందారీ	jameendaarii
జమీందారు	jameendaaru
జమీందార్	jamindar
జమీందార్ల	jameendaarla
జమ్మలమడుగు	jammalamadugu
జమ్మి	jammi
జమ్ము	jammu
జమ్మూ	jammoo
జయ	jaya
జయం	jayam
జయంతి	jayanti
జయదేవ్	jayadev
జయప్రకాశ్	jayaprakash
జయప్రకాష్	jayaprakash
జయప్రద	jayaprada
జయప్రదకు	jayapradaku
జయము	jayamu
జయరాం	jayaram
జయరాజు	jayaraju
జయశంకర్	jayashankar
జయసింహ	jayasimha
జయసుధ	jayasudha
జయసూర్య	jayasurya
జయహో	jayaho
జయించడం	jayinchadam
జయించడానికి	jayinchadaniki
జయించవచ్చు	jayinchavachchu
జయించాడు	jayinchadu
జయించి	jayinchi
జయించిన	jayinchina
జయేంద్ర	jayendra
జరగ	jaraga
జరగక	jaragaka
జరగకుండా	jaragakundaa
జరగడం	jaragadam
జరగడానికి	jaragadaaniki
జరగదని	jaragadani
జరగదు	jaragadu
జరగలేదు	jaragaledhu
జరగవచ్చు	jaragavacchu
జరగాలని	jaragaalani
జరగాలి	jaragaali
జరపటానికి	jarapataaniki
జరపడం	jarapadam
జరపాలని	jarapaalani
జరపాలి	jarapaali
జరా	jaraa
జరాసంధుడు	jaraasandhudu
జరిగాయి	jarigaayi
జరిగారు	jarigaaru
జరిగి	jarigi
జరిగిందంటే	jarigindante
జరిగిందని	jarigindani
జరిగిందన్న	jarigindanna
జరిగింది	jarigindi
జరిగితే	jarigite
జరిగిన	jarigina
జరిగినట్టు	jariginattu
జరిగినట్లు	jariginatlu
జరిగినట్లే	jariginatle
జరిగినదంతా	jariginadanta
జరిగినది	jariginadi
జరిగినప్పుడు	jariginappudu
జరిగినవి	jariginavi
జరిగినా	jarigina
జరిగిపోయింది	jarigipoyindi
జరిగెను	jarigenu
జరిగే	jarige
జరిగేది	jarigedi
జరిగేవి	jarigevi
జరిపాడు	jaripaadu
జరిపారు	jaripaaru
జరిపి	jaripi
జరిపించడం	jaripinchadam
జరిపించమని	jaripinchamani
జరిపించాడు	jaripinchaadu
జరిపించారు	jaripinchaaru
జరిపింది	jaripindi
జరిపిన	jaripina
జరిపిస్తారు	jaripistaaru
జరిపిస్తున్నారు	jaripisthunnaaru
జరిపే	jaripe
జరిపేవారు	jaripeevaaru
జరిమానా	jarimaanaa
జరిమానాలు	jarimaanaalu
జరుగు	jarugu
జరుగుచున్న	jaruguchunna
జరుగుతాయి	jarugutaayi
జరుగుతుంటుంది	jaruguthuntundhi
జరుగుతుండగా	jaruguthundagaa
జరుగుతుండేవి	jaruguthundaevi
జరుగుతుందట	jaruguthundhata
జరుగుతుందని	jaruguthundhani
జరుగుతుంది	jaruguthundhi
జరుగుతున్న	jaruguthunna
జరుగుతున్నది	jaruguthunnadhi
జరుగుతున్నప్పుడు	jaruguthunnappudu
జరుగుతున్నా	jaruguthunnaa
జరుగుతున్నాయి	jaruguthunnaayi
జరుగుతూ	jaruguthoo
జరుగుతూనే	jaruguthoone
జరుగుతోంది	jaruguthondhi
జరుగును	jarugunu
జరుపు	jarupu
జరుపుకుంటారు	jarupukuntaaru
జరుపుకుంటున్నారు	jarupukuntunnaaru
జరుపుకుంది	jarupukundi
జరుపుకునే	jarupukune
జరుపుతారు	jaruputharu
జరుపుతుంది	jaruputhundi
జరుపుతున్న	jaruputunna
జర్నలిజం	jarnalijam
జర్నల్స్	journals
జర్మనీ	jarmanee
జర్మనీకి	jarmaneeki
జర్మనీలో	jarmaneelo
జర్మనీలోని	germanyloni
జల	jala
జలం	jalam
జలంతో	jalamtho
జలగం	jalagam
జలపాతం	jalapaatham
జలపాతానికి	jalapaathaaniki
జలపాతాలకు	jalapaathaalaku
జలపాతాలను	jalapaathaalanu
జలపాతాలు	jalapaathaalu
జలవనరుల	jalavanarula
జలవిద్యుత్	jalavidhyuth
జలసంధి	jalasandhi
జలసూత్రం	jalasuutram
జలాంతర్గామి	jalaamtargaami
జలాంతర్గాములు	jalaamtargaamulu
జలాన్ని	jalaanni
జలాల్లోకి	jalaalloki
జలాశయం	jalaasayam
జలాశయాలు	jalaasayaalu
జలుబు	jalubu
జల్లెడ	jalleda
జవహర్	javahar
జవహర్లాల్	javaharlal
జవాబు	javabu
జవాబులు	javabulu
జస్టిస్	jastis
జహంగీర్	jahangeer
జహీరాబాద్	jaheeraabaadh
జాండిస్	jaundice
జాకబ్	jaacab
జాకీ	jaakee
జాక్	jack
జాక్సన్	jackson
జాక్సన్విల్లే	jaacksonville
జాగర్లమూడి	jagarlamudi
జాగింగ్	jogging
జాగృతి	jaagruti
జాగ్రతగా	jaagratagaa
జాగ్రత్త	jaagratta
జాగ్రత్తగా	jaagrattagaa
జాగ్రత్తలతో	jaagrattalatoo
జాగ్రత్తలు	jaagratthalu
జాగ్వర్	jaguar
జాజికాయ	jaajikaaya
జాడ	jaada
జాత	jaata
జాతక	jaataka
జాతకం	jaatakam
జాతకుడు	jaathakudu
జాతర	jaathara
జాతరకు	jaatharaku
జాతరను	jaataranu
జాతరలు	jaatharalu
జాతి	jaathi
జాతికి	jaatiki
జాతిగా	jaathigaa
జాతిని	jaathini
జాతీయ	jaatheeya
జాతీయం	jaatheeyam
జాతీయగీతం	jaatheeyageetham
జాతీయవాద	jateeyavaada
జాతీయవాది	jaateeyavaadi
జాతీయస్థాయి	jaateeyasthaayi
జాతీయాన్ని	jaateeyaanni
జాతీయాలు	jaateeyaalu
జాతీయుల	jaateeyula
జాతీయులు	jaateeyulu
జాతుల	jaathula
జాతులకు	jaatulaku
జాతులతో	jaathulatho
జాతులను	jaathulanu
జాతులలో	jaathulalo
జాతులు	jaathulu
జానకి	jaanaki
జానీ	jaanee
జానెడు	jaanedu
జాన్	john
జాన్సన్	johnson
జాన్స్	johns
జాప్యం	jaapyam
జాఫర్	jafar
జాబితా	jaabithaa
జాబితాకు	jaabithaaku
